,altitude_mean_meters,Aroma,Flavor,Aftertaste,Acidity,Body,Variety,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Moisture,Country.of.Origin,Category.One.Defects,Category.Two.Defects,Total.Cup.Points
552,1450.0,7.83,7.67,7.42,7.42,7.5,Other,7.58,10.0,10.0,10.0,7.5,0.11,Colombia,3,5,82.92
553,1248.0,7.58,7.58,7.33,7.25,7.58,Typica,7.75,10.0,10.0,10.0,7.83,0.1,Mexico,0,4,82.92
554,1040.0,7.67,7.33,7.17,7.58,8.08,Other,7.42,10.0,10.0,10.0,7.67,0.0,Vietnam,0,17,82.92
555,1400.0,8.0,7.92,7.67,7.17,7.67,Typica,7.42,9.33,10.0,10.0,7.75,0.14,Mexico,1,4,82.92
559,1754.0,7.75,7.58,7.42,7.58,7.5,SL28,7.5,10.0,10.0,10.0,7.5,0.1,Kenya,0,3,82.83
560,1700.0,7.5,7.58,7.33,7.67,7.58,Bourbon,7.58,10.0,10.0,10.0,7.58,0.11,Guatemala,1,2,82.83
561,905.0,7.67,7.58,7.58,7.5,7.5,Yellow Bourbon,7.42,10.0,10.0,10.0,7.58,0.11,Brazil,0,2,82.83
562,1250.0,7.33,7.67,7.67,7.83,7.33,Pacas,7.67,10.0,10.0,10.0,7.33,0.0,El Salvador,0,4,82.83
563,1900.0,7.83,7.92,7.75,7.83,7.75,Bourbon,7.75,9.33,9.33,9.33,8.0,0.11,Rwanda,0,0,82.83
564,1040.0,7.25,7.58,7.5,7.42,7.75,Other,7.42,10.0,10.0,10.0,7.92,0.11,Vietnam,11,0,82.83
565,1219.2,7.58,7.58,7.33,7.67,7.67,Bourbon,7.5,10.0,10.0,10.0,7.5,0.11,Guatemala,0,2,82.83
566,900.0,7.58,7.83,7.33,7.67,7.42,Catuai,7.33,10.0,10.0,10.0,7.67,0.12,Brazil,2,6,82.83
567,1600.0,7.83,7.67,7.5,7.58,7.5,Other,7.67,10.0,10.0,10.0,7.08,0.0,Colombia,0,1,82.83
568,1200.0,7.42,7.58,7.25,7.5,7.75,Other,7.75,10.0,10.0,10.0,7.58,0.0,United States,0,9,82.83
569,1500.0,7.67,7.67,7.75,7.67,7.42,Bourbon,7.17,10.0,10.0,10.0,7.5,0.1,Guatemala,0,4,82.83
570,1800.0,7.5,7.42,7.58,7.5,7.58,Typica,7.58,10.0,10.0,10.0,7.67,0.0,Colombia,4,4,82.83
571,1775.0,7.83,7.5,7.5,7.42,7.5,Caturra,7.5,10.0,10.0,10.0,7.58,0.11,Colombia,0,3,82.83
572,1400.0,7.67,7.5,7.33,7.25,7.58,Arusha,7.75,10.0,10.0,10.0,7.75,0.11,"Tanzania, United Republic Of",0,5,82.83
573,1550.0,7.58,7.67,7.5,7.58,7.5,Caturra,7.5,10.0,10.0,10.0,7.5,0.12,Mexico,2,10,82.83
574,1250.0,7.67,7.58,7.42,7.75,7.42,Bourbon,7.42,10.0,10.0,10.0,7.58,0.12,Mexico,0,7,82.83
575,1310.64,7.67,7.67,7.33,7.5,7.33,Bourbon,7.92,10.0,10.0,10.0,7.42,0.11,Guatemala,0,10,82.83
576,1380.0,7.58,7.58,7.5,7.42,7.67,Typica,7.58,10.0,10.0,10.0,7.5,0.11,Mexico,0,2,82.83
578,1100.0,7.5,7.58,7.42,7.67,7.58,Caturra,7.5,10.0,10.0,10.0,7.5,0.1,Guatemala,0,3,82.75
579,1800.0,7.58,7.67,7.5,7.58,7.5,Caturra,7.42,10.0,10.0,10.0,7.5,0.11,Guatemala,0,8,82.75
580,1700.0,7.5,7.67,7.17,7.67,7.67,Bourbon,7.58,10.0,10.0,10.0,7.5,0.11,Guatemala,0,4,82.75
581,1219.2,7.5,7.5,7.42,7.58,7.67,Bourbon,7.5,10.0,10.0,10.0,7.58,0.1,Guatemala,0,1,82.75
582,1219.2,7.42,7.58,7.42,7.67,7.5,Bourbon,7.5,10.0,10.0,10.0,7.67,0.1,Guatemala,0,1,82.75
583,1500.0,7.5,7.58,7.42,7.58,7.58,Sulawesi,7.5,10.0,10.0,10.0,7.58,0.12,Indonesia,0,15,82.75
584,157.8864,7.58,7.58,7.33,7.58,7.33,Bourbon,7.67,10.0,10.0,10.0,7.67,0.12,Guatemala,0,0,82.75
585,650.0,7.83,7.67,7.33,7.67,7.58,Yellow Bourbon,7.67,9.33,10.0,10.0,7.67,0.0,Taiwan,0,0,82.75
586,1250.0,7.67,7.67,7.17,7.33,7.58,Bourbon,7.67,10.0,10.0,10.0,7.67,0.0,El Salvador,0,4,82.75
587,1850.0,7.58,7.5,7.42,7.67,7.42,Caturra,7.5,10.0,10.0,10.0,7.67,0.09,Costa Rica,0,1,82.75
588,1400.0,7.58,7.5,7.42,7.58,7.5,Caturra,7.5,10.0,10.0,10.0,7.67,0.09,Honduras,0,6,82.75
589,905.0,7.5,7.5,7.58,7.5,7.58,Yellow Bourbon,7.58,10.0,10.0,10.0,7.5,0.11,Brazil,0,1,82.75
590,1100.0,7.67,7.5,7.33,7.33,7.67,Catimor,7.67,10.0,10.0,10.0,7.58,0.1,China,0,0,82.75
591,1500.0,7.5,7.67,7.42,7.67,7.5,Catimor,7.5,10.0,10.0,10.0,7.5,0.11,China,0,2,82.75
592,1775.0,7.5,7.58,7.58,7.75,7.33,Caturra,7.5,10.0,10.0,10.0,7.5,0.0,Colombia,0,2,82.75
593,1442.0,7.75,7.58,7.42,7.5,7.33,Gesha,7.5,10.0,10.0,10.0,7.67,0.12,Malawi,0,0,82.75
594,1524.0,7.75,7.42,7.25,7.75,7.5,Pacas,7.67,10.0,10.0,10.0,7.42,0.13,Guatemala,0,2,82.75
595,165.0,7.67,7.42,7.42,7.58,7.33,Typica,7.67,10.0,10.0,10.0,7.67,0.12,Colombia,0,0,82.75
598,1300.0,7.58,7.33,7.17,7.33,7.25,Caturra,8.58,10.0,10.0,10.0,7.5,0.1,Colombia,0,2,82.75
599,1550.0,7.58,7.58,7.5,7.5,7.5,Typica,7.5,10.0,10.0,10.0,7.58,0.12,Mexico,0,6,82.75
600,1200.0,7.58,7.58,7.33,7.75,7.25,Typica,7.58,10.0,10.0,10.0,7.67,0.12,Mexico,0,0,82.75
601,1200.0,8.08,8.17,8.0,8.0,7.83,Typica,7.92,6.67,10.0,10.0,8.08,0.12,Mexico,1,4,82.75
602,1625.0,7.5,7.58,7.42,7.67,7.5,Caturra,7.58,10.0,10.0,10.0,7.5,0.0,Colombia,0,0,82.75
603,1775.0,7.67,7.58,7.58,7.58,7.5,Caturra,7.42,10.0,10.0,10.0,7.42,0.11,Colombia,0,3,82.75
605,1100.0,7.42,7.42,7.5,7.58,7.5,Catuai,7.75,10.0,10.0,10.0,7.58,0.0,Panama,0,4,82.75
607,890.0,7.5,7.58,7.25,7.75,7.58,Bourbon,7.5,10.0,10.0,10.0,7.5,0.0,Brazil,0,4,82.67
608,934.0,7.5,7.58,7.5,7.67,7.5,Bourbon,7.42,10.0,10.0,10.0,7.5,0.11,Brazil,0,3,82.67
609,1300.0,7.67,7.67,7.42,7.42,7.42,Catimor,7.5,10.0,10.0,10.0,7.58,0.13,Laos,0,0,82.67
610,1200.0,7.67,7.67,7.67,7.67,7.5,Pacas,7.67,10.0,10.0,9.33,7.5,0.0,El Salvador,0,7,82.67
613,1.0,7.58,7.5,7.42,7.67,7.5,Yellow Bourbon,7.5,10.0,10.0,10.0,7.5,0.0,Brazil,0,0,82.67
615,1700.0,7.5,7.5,7.5,7.5,7.5,Other,7.58,10.0,10.0,10.0,7.58,0.12,"Tanzania, United Republic Of",0,0,82.67
616,1550.0,7.58,7.5,7.5,7.58,7.33,Bourbon,7.58,10.0,10.0,10.0,7.58,0.12,"Tanzania, United Republic Of",0,4,82.67
617,1200.0,8.0,7.83,7.83,7.42,7.25,Typica,7.25,10.0,10.0,10.0,7.08,0.08,Taiwan,0,0,82.67
618,1296.0,7.67,7.58,7.42,7.5,7.42,Typica,7.5,10.0,10.0,10.0,7.58,0.11,Mexico,0,0,82.67
619,1650.0,7.67,7.5,7.33,7.67,7.5,SL14,7.5,10.0,10.0,10.0,7.5,0.12,Uganda,0,0,82.67
620,1240.0,7.67,7.5,7.5,7.5,7.5,Typica,7.5,10.0,10.0,10.0,7.5,0.11,Taiwan,0,0,82.67
621,1500.0,7.42,7.5,7.5,7.67,7.58,Caturra,7.5,10.0,10.0,10.0,7.5,0.11,Thailand,0,0,82.67
622,1800.0,7.75,7.58,7.67,7.25,7.58,Caturra,7.42,10.0,10.0,10.0,7.42,0.11,Colombia,0,3,82.67
624,1500.0,7.67,7.67,7.17,7.67,7.5,Caturra,7.5,10.0,10.0,10.0,7.5,0.11,Guatemala,0,0,82.67
626,1100.0,7.58,7.58,7.42,7.58,7.42,Other,7.5,10.0,10.0,10.0,7.58,0.11,Mexico,0,2,82.67
627,950.0,7.5,7.58,7.58,7.58,7.42,Typica,7.42,10.0,10.0,10.0,7.58,0.12,Mexico,0,0,82.67
630,1400.0,7.75,7.58,7.25,7.75,7.67,Blue Mountain,7.58,10.0,10.0,10.0,7.08,0.0,Mexico,0,1,82.67
633,1219.2,7.5,7.42,7.42,7.75,7.5,Bourbon,7.5,10.0,10.0,10.0,7.5,0.1,Guatemala,0,2,82.58
634,1050.0,7.67,7.42,7.5,7.42,7.58,Typica,7.5,10.0,10.0,10.0,7.5,0.11,Taiwan,0,0,82.58
638,1250.0,7.83,7.58,7.42,7.33,7.42,Typica,7.5,10.0,10.0,10.0,7.5,0.13,Indonesia,0,6,82.58
640,1450.0,7.42,7.58,7.58,7.42,7.58,Caturra,7.5,10.0,10.0,10.0,7.5,0.12,Thailand,0,1,82.58
641,1317.0,7.75,7.42,7.33,7.5,7.58,Other,7.5,10.0,10.0,10.0,7.5,0.12,"Tanzania, United Republic Of",0,1,82.58
642,1650.0,7.83,7.5,7.42,7.58,7.42,SL14,7.42,10.0,10.0,10.0,7.42,0.12,Uganda,0,0,82.58
643,1300.0,7.67,7.42,7.5,7.67,7.0,Catuai,7.75,10.0,10.0,10.0,7.58,0.11,Costa Rica,0,3,82.58
646,1750.0,7.75,7.25,7.33,7.42,7.5,Caturra,7.83,10.0,10.0,10.0,7.5,0.11,Colombia,0,3,82.58
647,1750.0,7.75,7.5,7.75,7.25,7.33,Caturra,7.58,10.0,10.0,10.0,7.42,0.11,Colombia,0,3,82.58
648,1750.0,7.58,7.5,7.42,7.58,7.67,Caturra,7.42,10.0,10.0,10.0,7.42,0.11,Colombia,0,0,82.58
649,1250.0,7.5,7.58,7.5,7.5,7.42,Typica,7.5,10.0,10.0,10.0,7.58,0.1,Mexico,0,6,82.58
650,1150.0,7.67,7.58,7.58,7.75,7.67,Typica,6.83,10.0,10.0,10.0,7.5,0.12,Mexico,0,0,82.58
651,1775.0,7.33,7.42,7.58,7.42,7.67,Caturra,7.5,10.0,10.0,10.0,7.67,0.11,Colombia,2,2,82.58
652,975.0,7.58,7.5,7.33,7.75,7.5,Mundo Novo,7.5,10.0,10.0,10.0,7.42,0.0,Brazil,0,4,82.58
653,890.0,7.5,7.5,7.5,7.5,7.58,Bourbon,7.5,10.0,10.0,10.0,7.42,0.11,Brazil,0,4,82.5
654,1250.0,7.83,7.75,7.25,7.5,7.42,Other,7.33,10.0,10.0,10.0,7.42,0.11,Indonesia,0,5,82.5
655,1400.0,7.58,7.58,7.33,7.5,7.5,Caturra,7.5,10.0,10.0,10.0,7.5,0.1,Honduras,0,4,82.5
656,1219.2,7.5,7.5,7.33,7.5,7.67,Bourbon,7.5,10.0,10.0,10.0,7.5,0.1,Guatemala,0,2,82.5
658,1450.0,7.33,7.5,7.5,7.5,7.67,Caturra,7.5,10.0,10.0,10.0,7.5,0.11,Thailand,0,0,82.5
659,1600.0,7.67,7.42,7.33,7.58,7.5,Other,7.5,10.0,10.0,10.0,7.5,0.12,"Tanzania, United Republic Of",0,1,82.5
661,1600.0,7.42,7.58,7.5,7.67,7.25,Other,7.5,10.0,10.0,10.0,7.58,0.0,Mexico,0,1,82.5
662,1260.0,7.42,7.5,7.67,7.33,7.42,Yellow Bourbon,7.67,10.0,10.0,10.0,7.5,0.11,Brazil,0,0,82.5
663,1310.64,7.83,7.42,7.33,7.67,7.42,Bourbon,7.5,10.0,10.0,10.0,7.33,0.12,Guatemala,0,4,82.5
664,1750.0,7.5,7.5,7.42,7.42,7.58,Caturra,7.58,10.0,10.0,10.0,7.5,0.11,Colombia,0,1,82.5
665,1310.64,7.83,7.67,7.17,7.33,7.5,Bourbon,7.67,10.0,10.0,10.0,7.33,0.11,Guatemala,0,0,82.5
666,1679.0,7.5,7.58,7.5,7.5,7.42,Typica,7.42,10.0,10.0,10.0,7.58,0.13,Mexico,0,10,82.5
667,1100.0,7.67,7.5,7.33,7.67,7.5,Typica,7.33,10.0,10.0,10.0,7.5,0.12,Mexico,0,5,82.5
668,1650.0,7.92,7.5,7.33,7.58,7.25,Typica,7.42,10.0,10.0,10.0,7.5,0.11,Mexico,0,2,82.5
670,1250.0,7.67,7.42,7.33,7.67,7.5,Bourbon,7.5,10.0,10.0,10.0,7.42,0.0,Brazil,0,4,82.5
671,1775.0,7.67,7.5,7.33,7.5,7.25,Caturra,7.67,10.0,10.0,10.0,7.58,0.11,Colombia,1,3,82.5
674,1500.0,7.42,7.67,7.17,7.58,7.58,Other,7.5,10.0,10.0,10.0,7.5,0.12,Honduras,0,6,82.42
675,1700.0,7.58,7.5,7.33,7.75,7.33,Bourbon,7.5,10.0,10.0,10.0,7.42,0.1,Guatemala,0,2,82.42
676,1700.0,7.67,7.58,7.25,7.67,7.42,Bourbon,7.33,10.0,10.0,10.0,7.5,0.12,Guatemala,0,0,82.42
677,157.8864,7.58,7.5,7.25,7.67,7.5,Bourbon,7.5,10.0,10.0,10.0,7.42,0.12,Guatemala,0,0,82.42
679,1600.0,5.08,7.75,7.83,7.75,7.83,Caturra,8.08,10.0,10.0,10.0,8.08,0.11,Colombia,0,1,82.42
680,1600.0,7.67,7.42,7.42,7.5,7.42,Catimor,7.42,10.0,10.0,10.0,7.58,0.1,China,0,0,82.42
682,2285.0,7.67,7.25,7.42,7.42,7.67,Ruiru 11,7.42,10.0,10.0,10.0,7.58,0.13,"Tanzania, United Republic Of",0,7,82.42
683,1.0,7.17,7.83,7.33,7.5,7.75,Yellow Bourbon,7.42,10.0,10.0,10.0,7.42,0.0,Brazil,0,0,82.42
684,1400.0,7.5,7.5,7.5,7.67,7.42,Caturra,7.5,10.0,10.0,10.0,7.33,0.1,Guatemala,0,0,82.42
685,1296.0,7.42,7.5,7.42,7.58,7.42,Typica,7.5,10.0,10.0,10.0,7.58,0.11,Mexico,0,0,82.42
686,1000.0,7.58,7.67,7.33,7.5,7.5,Catuai,7.42,10.0,10.0,10.0,7.42,0.12,Brazil,0,1,82.42
688,1260.0,7.25,7.33,7.25,7.5,7.42,Yellow Bourbon,7.5,10.0,10.0,10.0,8.17,0.0,Brazil,0,0,82.42
689,1170.0,7.5,7.58,7.5,7.92,7.42,Bourbon,7.67,9.33,10.0,10.0,7.5,0.12,Mexico,0,0,82.42
691,1775.0,7.67,7.42,7.33,7.5,7.58,Caturra,7.5,10.0,10.0,10.0,7.42,0.11,Colombia,0,9,82.42
692,1560.0,7.5,7.42,7.42,7.67,7.42,Typica,7.58,10.0,10.0,10.0,7.42,0.12,Mexico,0,5,82.42
693,1400.0,7.42,7.58,7.5,7.42,7.58,Typica,7.5,10.0,10.0,10.0,7.42,0.13,Mexico,0,2,82.42
694,1300.0,7.42,7.58,7.33,7.58,7.5,Typica,7.5,10.0,10.0,10.0,7.5,0.14,Mexico,0,9,82.42
695,1170.0,7.75,7.33,7.25,7.58,7.58,Caturra,7.33,10.0,10.0,10.0,7.58,0.13,Mexico,0,1,82.42
696,1300.0,7.5,7.58,7.33,7.5,7.5,Typica,7.5,10.0,10.0,10.0,7.5,0.11,Mexico,0,0,82.42
697,1350.0,7.58,7.58,7.17,7.5,7.5,Pacamara,7.5,10.0,10.0,10.0,7.58,0.14,Mexico,0,6,82.42
698,1150.0,7.58,7.33,7.33,7.58,7.5,Caturra,7.5,10.0,10.0,10.0,7.58,0.11,Mexico,0,0,82.42
699,1250.0,7.67,7.58,7.33,7.42,7.58,Bourbon,7.33,10.0,10.0,10.0,7.5,0.13,Mexico,0,4,82.42
700,1450.0,7.83,7.5,7.42,7.67,7.17,Typica,7.33,10.0,10.0,10.0,7.5,0.12,Mexico,0,0,82.42
701,442.0,7.67,7.33,7.25,7.42,7.5,Caturra,7.67,10.0,10.0,10.0,7.58,0.0,Colombia,0,2,82.42
703,1750.0,7.33,7.58,7.17,7.58,7.42,Caturra,7.58,10.0,10.0,10.0,7.75,0.0,Colombia,0,2,82.42
705,1396.0,7.5,7.58,7.33,7.5,7.42,Caturra,7.42,10.0,10.0,10.0,7.58,0.1,Honduras,0,8,82.33
706,982.0,7.33,7.5,7.5,7.33,7.5,Catuai,7.5,10.0,10.0,10.0,7.67,0.11,Brazil,0,11,82.33
708,934.0,7.5,7.5,7.42,7.5,7.42,Bourbon,7.5,10.0,10.0,10.0,7.5,0.11,Brazil,0,3,82.33
709,1850.0,7.75,7.5,7.25,7.25,7.42,Caturra,7.67,10.0,10.0,10.0,7.5,0.1,Costa Rica,6,3,82.33
710,1550.0,7.75,7.33,7.5,7.5,7.33,Catuai,7.58,10.0,10.0,10.0,7.33,0.0,Costa Rica,0,0,82.33
711,1580.0,7.5,7.58,7.42,7.5,7.42,Catimor,7.42,10.0,10.0,10.0,7.5,0.12,China,0,2,82.33
712,1268.0,8.25,7.83,7.25,8.33,8.17,Bourbon,8.08,10.0,6.67,10.0,7.75,0.07,Brazil,0,0,82.33
714,1676.4,7.5,7.42,7.17,7.83,7.5,Bourbon,7.5,10.0,10.0,10.0,7.42,0.1,Guatemala,0,6,82.33
715,1450.0,7.33,7.58,7.42,7.58,7.33,Gesha,7.5,10.0,10.0,10.0,7.58,0.12,Malawi,0,0,82.33
716,1100.0,7.75,8.08,7.67,8.08,8.08,Bourbon,8.0,10.0,10.0,6.67,8.0,0.11,Brazil,0,0,82.33
717,1524.0,7.58,7.67,7.5,7.58,7.75,Pacas,7.5,9.33,10.0,10.0,7.42,0.12,Guatemala,0,3,82.33
719,1300.0,7.42,7.33,7.5,7.17,7.08,Caturra,8.33,10.0,10.0,10.0,7.5,0.1,Colombia,0,2,82.33
720,200.0,7.5,7.5,7.5,7.5,7.5,Typica,7.5,10.0,10.0,10.0,7.33,0.11,Taiwan,0,0,82.33
721,600.0,7.5,7.5,7.5,7.5,7.5,Typica,7.5,10.0,10.0,10.0,7.33,0.11,Taiwan,0,0,82.33
722,1310.64,7.5,7.42,7.58,7.5,7.5,Bourbon,7.58,10.0,10.0,10.0,7.25,0.12,Guatemala,2,1,82.33
723,1750.0,7.5,7.42,7.5,7.5,7.5,Caturra,7.58,10.0,10.0,10.0,7.33,0.0,Colombia,0,1,82.33
724,1300.0,7.67,7.5,7.42,7.5,7.42,Typica,7.42,10.0,10.0,10.0,7.42,0.12,Mexico,0,3,82.33
726,1752.6,7.67,7.5,7.33,7.67,7.5,Bourbon,7.33,10.0,10.0,10.0,7.33,0.11,Guatemala,0,3,82.33
727,441.0,7.58,7.67,7.58,7.33,7.0,Typica,7.58,10.0,10.0,10.0,7.58,0.15,Mexico,1,8,82.33
728,1170.0,7.67,7.58,7.5,7.58,7.5,Bourbon,7.5,10.0,10.0,10.0,7.0,0.13,Mexico,0,9,82.33
729,1310.64,7.5,7.67,7.33,7.5,7.33,Bourbon,7.5,10.0,10.0,10.0,7.5,0.1,Guatemala,2,5,82.33
730,1100.0,7.58,7.5,7.42,7.5,7.5,Mundo Novo,7.42,10.0,10.0,10.0,7.42,0.12,Brazil,0,2,82.33
731,1300.0,8.0,7.75,7.33,7.33,7.08,Typica,7.67,9.33,10.0,10.0,7.83,0.11,Mexico,0,0,82.33
732,950.0,7.58,7.58,7.25,7.58,7.42,Mundo Novo,7.5,10.0,10.0,10.0,7.42,0.11,Brazil,0,2,82.33
733,442.0,7.83,7.58,7.33,7.25,7.58,Caturra,7.42,10.0,10.0,10.0,7.33,0.0,Colombia,0,0,82.33
734,1100.0,7.58,7.5,7.25,7.42,7.67,Catuai,7.33,10.0,10.0,10.0,7.5,0.09,Brazil,2,10,82.25
736,1450.0,7.67,7.5,7.25,7.67,7.42,Pacas,7.42,10.0,10.0,10.0,7.33,0.11,Guatemala,0,2,82.25
737,1.0,7.42,7.67,7.5,7.08,7.5,Yellow Bourbon,7.42,10.0,10.0,10.0,7.67,0.0,Brazil,0,9,82.25
738,1500.0,7.58,7.67,7.5,7.67,7.83,Bourbon,8.42,9.33,9.33,9.33,7.58,0.12,El Salvador,0,0,82.25
739,1350.0,7.58,7.5,7.42,7.58,7.42,Catuai,7.42,10.0,10.0,10.0,7.33,0.11,Honduras,0,2,82.25
740,1180.0,7.58,7.42,7.33,7.42,7.58,Gesha,7.5,10.0,10.0,10.0,7.42,0.13,Malawi,0,0,82.25
741,1100.0,7.75,7.58,7.42,7.42,7.33,Bourbon,7.33,10.0,10.0,10.0,7.42,0.11,Brazil,0,0,82.25
742,650.0,7.5,7.5,7.5,7.5,7.5,Typica,7.5,10.0,10.0,10.0,7.25,0.11,Taiwan,0,0,82.25
743,1338.0,7.58,7.58,7.42,7.42,7.42,Mundo Novo,7.42,10.0,10.0,10.0,7.42,0.12,Mexico,0,4,82.25
745,533.0,7.58,7.58,7.5,7.17,7.42,Bourbon,7.42,10.0,10.0,10.0,7.58,0.16,Mexico,3,8,82.25
746,1390.8024,7.5,7.5,7.33,7.58,7.67,Bourbon,7.33,10.0,10.0,10.0,7.33,0.11,Guatemala,0,2,82.25
747,1170.0,7.5,7.58,7.42,7.67,7.33,Bourbon,7.42,10.0,10.0,10.0,7.33,0.13,Mexico,0,3,82.25
748,1250.0,7.67,7.58,7.33,7.5,7.42,Typica,7.42,10.0,10.0,10.0,7.33,0.12,Mexico,0,13,82.25
750,1100.0,7.33,7.58,7.42,7.67,7.33,Typica,7.5,10.0,10.0,10.0,7.42,0.11,Mexico,0,0,82.25
751,900.0,7.42,7.5,7.42,7.58,7.42,Typica,7.5,10.0,10.0,10.0,7.42,0.1,Mexico,0,3,82.25
752,1750.0,7.5,7.42,7.67,7.33,7.58,Caturra,7.33,10.0,10.0,10.0,7.42,0.12,Colombia,0,1,82.25
753,1775.0,7.67,7.33,7.33,7.33,7.5,Caturra,7.5,10.0,10.0,10.0,7.58,0.11,Colombia,0,0,82.25
756,934.0,7.42,7.42,7.5,7.42,7.42,Bourbon,7.5,10.0,10.0,10.0,7.5,0.11,Brazil,0,5,82.17
757,1500.0,7.5,7.5,7.17,7.42,7.5,Caturra,7.5,10.0,10.0,10.0,7.58,0.11,Honduras,0,2,82.17
759,1650.0,7.58,7.42,7.42,7.33,7.5,Bourbon,7.42,10.0,10.0,10.0,7.5,0.13,"Tanzania, United Republic Of",1,6,82.17
760,1600.0,7.42,7.42,7.42,7.5,7.5,Other,7.33,10.0,10.0,10.0,7.58,0.12,"Tanzania, United Republic Of",0,1,82.17
761,1.0,6.92,7.58,7.42,7.33,7.83,Yellow Bourbon,7.5,10.0,10.0,10.0,7.58,0.0,Brazil,0,1,82.17
763,1350.0,7.67,7.5,7.25,7.42,7.58,Catuai,7.42,10.0,10.0,10.0,7.33,0.11,Honduras,0,2,82.17
764,1500.0,7.42,7.42,7.5,7.5,7.42,Bourbon,7.5,10.0,10.0,10.0,7.42,0.09,Guatemala,0,4,82.17
766,1700.0,7.75,7.42,7.42,7.58,7.33,Other,7.42,10.0,10.0,10.0,7.25,0.12,"Tanzania, United Republic Of",0,1,82.17
767,1100.0,7.42,7.33,7.17,7.42,7.33,Other,8.17,10.0,10.0,10.0,7.33,0.12,Mexico,0,0,82.17
768,1400.0,7.5,7.5,7.33,7.42,7.5,Other,7.42,10.0,10.0,10.0,7.5,0.1,Mexico,1,1,82.17
769,1200.0,7.5,7.5,7.5,7.5,7.5,Typica,7.5,10.0,10.0,10.0,7.17,0.11,Taiwan,0,0,82.17
770,800.0,7.67,7.5,7.5,7.17,7.17,Typica,7.58,10.0,10.0,10.0,7.58,0.0,Taiwan,0,0,82.17
771,1750.0,7.33,7.25,7.25,7.58,7.75,Caturra,7.5,10.0,10.0,10.0,7.5,0.0,Colombia,0,1,82.17
772,1144.0,7.5,7.67,7.0,7.5,7.33,Typica,7.5,10.0,10.0,10.0,7.67,0.15,Mexico,1,9,82.17
773,1350.0,7.25,7.75,7.0,7.75,8.17,Caturra,7.75,10.0,10.0,9.33,7.17,0.12,Guatemala,0,2,82.17
774,1000.0,7.5,7.58,7.25,7.5,7.5,Typica,7.33,10.0,10.0,10.0,7.5,0.12,Mexico,0,4,82.17
775,1200.0,7.0,7.67,7.5,7.5,7.42,Typica,7.5,10.0,10.0,10.0,7.58,0.1,Mexico,0,1,82.17
777,1300.0,7.5,7.5,7.42,7.42,7.5,Bourbon,7.42,10.0,10.0,10.0,7.33,0.15,Indonesia,0,3,82.08
779,894.0,7.42,7.58,7.42,7.5,7.42,Bourbon,7.25,10.0,10.0,10.0,7.5,0.11,Brazil,0,3,82.08
780,1.0,7.25,7.25,7.58,7.58,7.25,Yellow Bourbon,7.92,10.0,10.0,10.0,7.25,0.0,Brazil,0,1,82.08
781,1300.0,7.75,7.42,7.42,7.25,7.17,Caturra,7.42,10.0,10.0,10.0,7.67,0.0,Costa Rica,0,0,82.08
782,1500.0,7.42,7.33,7.42,7.42,7.5,Bourbon,7.58,10.0,10.0,10.0,7.42,0.12,"Tanzania, United Republic Of",0,5,82.08
783,1600.0,7.42,7.5,7.5,7.33,7.33,Other,7.5,10.0,10.0,10.0,7.5,0.12,"Tanzania, United Republic Of",0,3,82.08
785,13.0,7.58,7.33,7.33,7.33,7.5,Caturra,7.67,10.0,10.0,10.0,7.33,0.11,Costa Rica,0,2,82.08
787,1300.0,7.42,7.58,7.5,7.33,7.42,Typica,7.42,10.0,10.0,10.0,7.42,0.13,Mexico,0,7,82.08
788,1800.0,7.5,7.42,7.42,7.5,7.25,Typica,7.5,10.0,10.0,10.0,7.5,0.13,Mexico,3,13,82.08
789,1250.0,7.67,7.5,7.25,7.58,7.42,Typica,7.33,10.0,10.0,10.0,7.33,0.11,Mexico,0,11,82.08
790,1040.0,7.67,8.0,7.17,7.08,7.67,Other,7.08,10.0,10.0,10.0,7.42,0.12,Vietnam,0,2,82.08
791,1250.0,7.58,7.42,7.25,7.75,7.33,Typica,7.42,10.0,10.0,10.0,7.33,0.11,Mexico,0,1,82.08
794,1600.0,7.5,7.5,7.17,7.5,7.5,Caturra,7.42,10.0,10.0,10.0,7.42,0.12,Honduras,0,1,82.0
795,1600.0,7.5,7.5,7.25,7.33,7.42,Caturra,7.5,10.0,10.0,10.0,7.5,0.1,Honduras,0,7,82.0
796,944.0,7.5,7.33,7.42,7.5,7.33,Bourbon,7.42,10.0,10.0,10.0,7.5,0.11,Brazil,0,3,82.0
797,1650.0,7.67,7.33,7.33,7.42,7.42,Other,7.42,10.0,10.0,10.0,7.42,0.13,"Tanzania, United Republic Of",0,20,82.0
798,1250.0,7.42,7.5,7.25,7.33,7.5,Other,7.5,10.0,10.0,10.0,7.5,0.12,Laos,0,0,82.0
799,1350.0,7.42,7.42,7.33,7.58,7.33,Other,7.42,10.0,10.0,10.0,7.5,0.12,"Tanzania, United Republic Of",0,3,82.0
800,2500.0,7.5,7.42,7.33,7.58,7.33,Gesha,7.5,10.0,10.0,10.0,7.33,0.13,Malawi,0,1,82.0
801,600.0,7.33,7.5,7.17,7.42,7.5,Typica,7.33,10.0,10.0,10.0,7.75,0.09,Taiwan,0,0,82.0
